text;setting;entrance;exit;business;delivery;modifier;location;unknown;play;year;lemmas;clean_lemmas;pos;ner_lemmas;ner_pos
Подхалюзин и Рисположенский.;0;1;0;0;0;0;0;0;ostrovsky-svoi-ljudi;1850;['подхалюзин', 'и', 'рисположенский'];['подхалюзин', 'рисположенский'];['S', 'A'];['Имя', 'рисположенский'];['PERSN', 'A']
(Пьет.);0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['пить'];['пить'];['V'];['пить'];['V']
(садится к столу).;0;0;0;1;0;0;1;0;ostrovsky-svoi-ljudi;1850;['садиться', 'к', 'стол'];['садиться', 'стол'];['V', 'S'];['садиться', 'стол'];['V', 'S']
(Пьет.);0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['пить'];['пить'];['V'];['пить'];['V']
(Подходит и садится к столу.);0;0;0;1;0;0;1;0;ostrovsky-svoi-ljudi;1850;['подходить', 'и', 'садиться', 'к', 'стол'];['подходить', 'садиться', 'стол'];['V', 'V', 'S'];['подходить', 'садиться', 'стол'];['V', 'V', 'S']
(Кладет бумажник на стол.);0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['класть', 'бумажник', 'на', 'стол'];['класть', 'бумажник', 'стол'];['V', 'S', 'S'];['класть', 'бумажник', 'стол'];['V', 'S', 'S']
Те же и Тишка.;0;1;0;0;0;0;0;0;ostrovsky-svoi-ljudi;1850;['тот', 'же', 'и', 'тишка'];['тишка'];['S'];['Имя'];['PERSN']
Тишка хочет убирать водку.;0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['тишка', 'хотеть', 'убирать', 'водка'];['тишка', 'хотеть', 'убирать', 'водка'];['S', 'V', 'V', 'S'];['Имя', 'хотеть', 'убирать', 'водка'];['PERSN', 'V', 'V', 'S']
(Пьет и закусывает.);0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['пить', 'и', 'закусывать'];['пить', 'закусывать'];['V', 'V'];['пить', 'закусывать'];['V', 'V']
Уходят. Тишка прибирает кое-что. сверху сходят Устинья Наумовна и Фоминишна. Тишка уходит.;0;1;1;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['уходить', 'тишка', 'прибирать', 'кое-что', 'сверху', 'сходить', 'устинья', 'наумовна', 'и', 'фоминишный', 'тишка', 'уходить'];['уходить', 'тишка', 'прибирать', 'кое-что', 'сверху', 'сходить', 'устинья', 'наумовна', 'фоминишный', 'тишка', 'уходить'];['V', 'S', 'V', 'SPRO', 'ADV', 'V', 'S', 'S', 'A', 'S', 'V'];['уходить', 'Имя', 'прибирать', 'кое-что', 'сверху', 'сходить', 'Имя', 'Имя', 'фоминишный', 'Имя', 'уходить'];['V', 'PERSN', 'V', 'SPRO', 'ADV', 'V', 'PERSN', 'PERSN', 'A', 'PERSN', 'V']
(садясь).;0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['садиться'];['садиться'];['V'];['садиться'];['V']
(Идет на лестницу.);0;0;0;1;0;0;1;0;ostrovsky-svoi-ljudi;1850;['идти', 'на', 'лестница'];['идти', 'лестница'];['V', 'S'];['идти', 'лестница'];['V', 'S']
Подхалюзин входит.;0;1;0;0;0;0;0;0;ostrovsky-svoi-ljudi;1850;['подхалюзин', 'входить'];['подхалюзин', 'входить'];['S', 'V'];['Имя', 'входить'];['PERSN', 'V']
Устинья Наумовна и Подхалюзин.;0;1;0;0;0;0;0;0;ostrovsky-svoi-ljudi;1850;['устинья', 'наумовна', 'и', 'подхалюзин'];['устинья', 'наумовна', 'подхалюзин'];['S', 'S', 'S'];['Имя', 'Имя', 'Имя'];['PERSN', 'PERSN', 'PERSN']
(Садится.);0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['садиться'];['садиться'];['V'];['садиться'];['V']
Входит Тишка.;0;1;0;0;0;0;0;0;ostrovsky-svoi-ljudi;1850;['входить', 'тишка'];['входить', 'тишка'];['V', 'S'];['входить', 'Имя'];['V', 'PERSN']
Уходят.;0;0;1;0;0;0;0;0;ostrovsky-svoi-ljudi;1850;['уходить'];['уходить'];['V'];['уходить'];['V']
(садится к столу и вынимает из кармана деньги).;0;0;0;1;0;0;1;0;ostrovsky-svoi-ljudi;1850;['садиться', 'к', 'стол', 'и', 'вынимать', 'из', 'карман', 'деньги'];['садиться', 'стол', 'вынимать', 'карман', 'деньги'];['V', 'S', 'V', 'S', 'S'];['садиться', 'стол', 'вынимать', 'карман', 'деньги'];['V', 'S', 'V', 'S', 'S']
(Считает про себя.);0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['считать', 'про', 'себя'];['считать'];['V'];['считать'];['V']
Голос Фоминишны за сценой: «Тишка, а Тишка! Долго ль мне кричать-то?»;0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['голос', 'фоминишный', 'за', 'сцена', 'тишка', 'а', 'тишка', 'долго', 'ль', 'я', 'кричать', 'то'];['голос', 'фоминишный', 'сцена', 'тишка', 'тишка', 'долго', 'ль', 'кричать'];['S', 'A', 'S', 'S', 'S', 'ADV', 'PART', 'V'];['голос', 'фоминишный', 'сцена', 'Имя', 'Имя', 'долго', 'ль', 'кричать'];['S', 'A', 'S', 'PERSN', 'PERSN', 'ADV', 'PART', 'V']
«Дома, что ли-ча, Лазарь?»;0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['дома', 'что', 'ли', 'ча', 'лазарь'];['дома', 'ча', 'лазарь'];['ADV', 'S', 'S'];['дома', 'ча', 'Имя'];['ADV', 'S', 'PERSN']
«Да куда ж он делся-то, господи?»;0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['да', 'куда', 'ж', 'он', 'деваться', 'то', 'господи'];['деваться', 'господи'];['V', 'INTJ'];['деваться', 'господи'];['V', 'INTJ']
Фоминишна сходит с лестницы.;0;1;0;0;0;0;0;0;ostrovsky-svoi-ljudi;1850;['фоминишный', 'сходить', 'с', 'лестница'];['фоминишный', 'сходить', 'лестница'];['A', 'V', 'S'];['фоминишный', 'сходить', 'лестница'];['A', 'V', 'S']
Тишка бежит.;0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['тишка', 'бежать'];['тишка', 'бежать'];['S', 'V'];['Имя', 'бежать'];['PERSN', 'V']
(показывается на лестнице).;0;1;0;0;0;0;1;0;ostrovsky-svoi-ljudi;1850;['показываться', 'на', 'лестница'];['показываться', 'лестница'];['V', 'S'];['показываться', 'лестница'];['V', 'S']
Стук в двери и голос Самсона Силыча: «Эй, отоприте, кто там?» Аграфена Кондратьевна скрывается.;0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['стук', 'в', 'дверь', 'и', 'голос', 'самсон', 'силыч', 'эй', 'отпирать', 'кто', 'там', 'аграфена', 'кондратиевна', 'скрываться'];['стук', 'дверь', 'голос', 'самсон', 'силыч', 'эй', 'отпирать', 'аграфена', 'кондратиевна', 'скрываться'];['S', 'S', 'S', 'S', 'S', 'INTJ', 'V', 'S', 'S', 'V'];['стук', 'дверь', 'голос', 'Имя', 'Имя', 'эй', 'отпирать', 'Имя', 'Имя', 'скрываться'];['S', 'S', 'S', 'PERSN', 'PERSN', 'INTJ', 'V', 'PERSN', 'PERSN', 'V']
(за дверями).;0;0;0;0;0;0;1;0;ostrovsky-svoi-ljudi;1850;['за', 'дверь'];['дверь'];['S'];['дверь'];['S']
Самсон Силыч входит.;0;1;0;0;0;0;0;0;ostrovsky-svoi-ljudi;1850;['самсон', 'силыч', 'входить'];['самсон', 'силыч', 'входить'];['S', 'S', 'V'];['Имя', 'Имя', 'входить'];['PERSN', 'PERSN', 'V']
Фоминишна и Большов.;0;1;0;0;0;0;0;0;ostrovsky-svoi-ljudi;1850;['фоминишный', 'и', 'большов'];['фоминишный', 'большов'];['A', 'S'];['фоминишный', 'Имя'];['A', 'PERSN']
(Садится.);0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['садиться'];['садиться'];['V'];['садиться'];['V']
Фоминишна идет к двери. Подхалюзин и Тишка входят.;0;1;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['фоминишный', 'идти', 'к', 'дверь', 'подхалюзин', 'и', 'тишка', 'входить'];['фоминишный', 'идти', 'дверь', 'подхалюзин', 'тишка', 'входить'];['A', 'V', 'S', 'S', 'S', 'V'];['фоминишный', 'идти', 'дверь', 'Имя', 'Имя', 'входить'];['A', 'V', 'S', 'PERSN', 'PERSN', 'V']
(возвращаясь).;0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['возвращаться'];['возвращаться'];['V'];['возвращаться'];['V']
Подхалюзин, Большов и Тишка.;0;1;0;0;0;0;0;0;ostrovsky-svoi-ljudi;1850;['подхалюзин', 'большов', 'и', 'тишка'];['подхалюзин', 'большов', 'тишка'];['S', 'S', 'S'];['Имя', 'Имя', 'Имя'];['PERSN', 'PERSN', 'PERSN']
Фоминишна уходит.;0;0;1;0;0;0;0;0;ostrovsky-svoi-ljudi;1850;['фоминишный', 'уходить'];['фоминишный', 'уходить'];['A', 'V'];['фоминишный', 'уходить'];['A', 'V']
(К Тишке.);0;0;0;0;1;0;0;0;ostrovsky-svoi-ljudi;1850;['к', 'тишка'];['тишка'];['S'];['Имя'];['PERSN']
(к Тишке).;0;0;0;0;1;0;0;0;ostrovsky-svoi-ljudi;1850;['к', 'тишка'];['тишка'];['S'];['Имя'];['PERSN']
Тишка уходит.;0;0;1;0;0;0;0;0;ostrovsky-svoi-ljudi;1850;['тишка', 'уходить'];['тишка', 'уходить'];['S', 'V'];['Имя', 'уходить'];['PERSN', 'V']
(Плачет.);0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['плакать'];['плакать'];['V'];['плакать'];['V']
Уходят.;0;0;1;0;0;0;0;0;ostrovsky-svoi-ljudi;1850;['уходить'];['уходить'];['V'];['уходить'];['V']
Декорация первого действия.;1;0;0;0;0;0;0;0;ostrovsky-svoi-ljudi;1850;['декорация', 'первый', 'действие'];['декорация', 'первый', 'действие'];['S', 'ANUM', 'S'];['декорация', 'первый', 'действие'];['S', 'ANUM', 'S']
(входит и садится на кресло. несколько времени смотрит по углам и зевает).;0;1;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['входить', 'и', 'садиться', 'на', 'кресло', 'несколько', 'время', 'смотреть', 'по', 'угол', 'и', 'зевать'];['входить', 'садиться', 'кресло', 'несколько', 'время', 'смотреть', 'угол', 'зевать'];['V', 'V', 'S', 'ADV', 'S', 'V', 'S', 'V'];['входить', 'садиться', 'кресло', 'несколько', 'время', 'смотреть', 'угол', 'зевать'];['V', 'V', 'S', 'ADV', 'S', 'V', 'S', 'V']
(Молчание.);0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['молчание'];['молчание'];['S'];['молчание'];['S']
(Зевает и смотрит по углам.);0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['зевать', 'и', 'смотреть', 'по', 'угол'];['зевать', 'смотреть', 'угол'];['V', 'V', 'S'];['зевать', 'смотреть', 'угол'];['V', 'V', 'S']
Аграфена Кондратьевна и Липочка (разряженная).;0;1;0;0;0;0;0;0;ostrovsky-svoi-ljudi;1850;['аграфена', 'кондратиевна', 'и', 'липочка', 'разряжать'];['аграфена', 'кондратиевна', 'липочка', 'разряжать'];['S', 'S', 'S', 'V'];['Имя', 'Имя', 'липочка', 'разряжать'];['PERSN', 'PERSN', 'S', 'V']
(К ней.);0;0;0;0;1;0;0;0;ostrovsky-svoi-ljudi;1850;['к', 'она'];[];[];[];[]
(К нему.);0;0;0;0;1;0;0;0;ostrovsky-svoi-ljudi;1850;['к', 'он'];[];[];[];[]
(Усаживает.);0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['усаживать'];['усаживать'];['V'];['усаживать'];['V']
(Плачет.);0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['плакать'];['плакать'];['V'];['плакать'];['V']
(плача).;0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['плакать'];['плакать'];['V'];['плакать'];['V']
Те же и Устинья Наумовна.;0;1;0;0;0;0;0;0;ostrovsky-svoi-ljudi;1850;['тот', 'же', 'и', 'устинья', 'наумовна'];['устинья', 'наумовна'];['S', 'S'];['Имя', 'Имя'];['PERSN', 'PERSN']
(входя).;0;1;0;0;0;0;0;0;ostrovsky-svoi-ljudi;1850;['входить'];['входить'];['V'];['входить'];['V']
(Целуются.);0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['целоваться'];['целоваться'];['V'];['целоваться'];['V']
(Садится.);0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['садиться'];['садиться'];['V'];['садиться'];['V']
Большов хохочет. Устинья Наумовна отходит с Липочкой на другую сторону сцены. Устинья Наумовна рассматривает ее платье.;0;0;0;1;0;0;1;0;ostrovsky-svoi-ljudi;1850;['большов', 'хохотать', 'устинья', 'наумовна', 'отходить', 'с', 'липочка', 'на', 'другой', 'сторона', 'сцена', 'устинья', 'наумовна', 'рассматривать', 'ее', 'платье'];['большов', 'хохотать', 'устинья', 'наумовна', 'отходить', 'липочка', 'сторона', 'сцена', 'устинья', 'наумовна', 'рассматривать', 'платье'];['S', 'V', 'S', 'S', 'V', 'S', 'S', 'S', 'S', 'S', 'V', 'S'];['Имя', 'хохотать', 'Имя', 'Имя', 'отходить', 'липочка', 'сторона', 'сцена', 'Имя', 'Имя', 'рассматривать', 'платье'];['PERSN', 'V', 'PERSN', 'PERSN', 'V', 'S', 'S', 'S', 'PERSN', 'PERSN', 'V', 'S']
(входит).;0;1;0;0;0;0;0;0;ostrovsky-svoi-ljudi;1850;['входить'];['входить'];['V'];['входить'];['V']
Тишка уходит.;0;0;1;0;0;0;0;0;ostrovsky-svoi-ljudi;1850;['тишка', 'уходить'];['тишка', 'уходить'];['S', 'V'];['Имя', 'уходить'];['PERSN', 'V']
(Подходит к зеркалу и смотрится, потом к отцу.);0;0;0;1;1;0;0;0;ostrovsky-svoi-ljudi;1850;['подходить', 'к', 'зеркало', 'и', 'смотреться', 'потом', 'к', 'отец'];['подходить', 'зеркало', 'смотреться', 'отец'];['V', 'S', 'V', 'S'];['подходить', 'зеркало', 'смотреться', 'отец'];['V', 'S', 'V', 'S']
Те же и Лазарь, Рисположенский и Фоминишна (у дверей).;0;1;0;0;0;0;1;0;ostrovsky-svoi-ljudi;1850;['тот', 'же', 'и', 'лазарь', 'рисположенский', 'и', 'фоминишный', 'у', 'дверь'];['лазарь', 'рисположенский', 'фоминишный', 'дверь'];['S', 'A', 'A', 'S'];['Имя', 'рисположенский', 'фоминишный', 'дверь'];['PERSN', 'A', 'A', 'S']
(берет Липочку насильно за руку и Лазаря).;0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['берет', 'липочка', 'насильно', 'за', 'рука', 'и', 'лазарь'];['берет', 'липочка', 'насильно', 'рука', 'лазарь'];['S', 'S', 'ADV', 'S', 'S'];['берет', 'липочка', 'насильно', 'рука', 'Имя'];['S', 'S', 'ADV', 'S', 'PERSN']
(Молчание.);0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['молчание'];['молчание'];['S'];['молчание'];['S']
Встают и уходят все, кроме Липочки, Подхалюзина и Аграфены Кондратьевны.;0;0;1;0;0;0;0;0;ostrovsky-svoi-ljudi;1850;['вставать', 'и', 'уходить', 'все', 'кроме', 'липочка', 'подхалюзин', 'и', 'аграфена', 'кондратиевна'];['вставать', 'уходить', 'кроме', 'липочка', 'подхалюзин', 'аграфена', 'кондратиевна'];['V', 'V', 'PR', 'S', 'S', 'S', 'S'];['вставать', 'уходить', 'кроме', 'липочка', 'Имя', 'Имя', 'Имя'];['V', 'V', 'PR', 'S', 'PERSN', 'PERSN', 'PERSN']
(Плачет.);0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['плакать'];['плакать'];['V'];['плакать'];['V']
(плачет);0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['плакать'];['плакать'];['V'];['плакать'];['V']
(из двери).;0;0;0;0;0;0;1;0;ostrovsky-svoi-ljudi;1850;['из', 'дверь'];['дверь'];['S'];['дверь'];['S']
Аграфена Кондратьевна уходит.;0;0;1;0;0;0;0;0;ostrovsky-svoi-ljudi;1850;['аграфена', 'кондратиевна', 'уходить'];['аграфена', 'кондратиевна', 'уходить'];['S', 'S', 'V'];['Имя', 'Имя', 'уходить'];['PERSN', 'PERSN', 'V']
Липочка и Подхалюзин.;0;1;0;0;0;0;0;0;ostrovsky-svoi-ljudi;1850;['липочка', 'и', 'подхалюзин'];['липочка', 'подхалюзин'];['S', 'S'];['липочка', 'Имя'];['S', 'PERSN']
Молчание.;0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['молчание'];['молчание'];['S'];['молчание'];['S']
(Вынимает.);0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['вынимать'];['вынимать'];['V'];['вынимать'];['V']
(Молчание.);0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['молчание'];['молчание'];['S'];['молчание'];['S']
(Молчание.);0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['молчание'];['молчание'];['S'];['молчание'];['S']
(Молчание.);0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['молчание'];['молчание'];['S'];['молчание'];['S']
(Молчание.);0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['молчание'];['молчание'];['S'];['молчание'];['S']
(Молчание.);0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['молчание'];['молчание'];['S'];['молчание'];['S']
(Молчание.);0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['молчание'];['молчание'];['S'];['молчание'];['S']
Подхалюзин становится.;0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['подхалюзин', 'становиться'];['подхалюзин', 'становиться'];['S', 'V'];['Имя', 'становиться'];['PERSN', 'V']
(Молчание.);0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['молчание'];['молчание'];['S'];['молчание'];['S']
(Целует, потом вскакивает и подбегает к двери.);0;0;0;1;0;0;1;0;ostrovsky-svoi-ljudi;1850;['целовать', 'потом', 'вскакивать', 'и', 'подбегать', 'к', 'дверь'];['целовать', 'вскакивать', 'подбегать', 'дверь'];['V', 'V', 'V', 'S'];['целовать', 'вскакивать', 'подбегать', 'дверь'];['V', 'V', 'V', 'S']
(Встает и охорашивается перед зеркалом.);0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['вставать', 'и', 'охорашиваться', 'перед', 'зеркало'];['вставать', 'охорашиваться', 'зеркало'];['V', 'V', 'S'];['вставать', 'охорашиваться', 'зеркало'];['V', 'V', 'S']
Те же, Большов и Аграфена Кондратьевна.;0;1;0;0;0;0;0;0;ostrovsky-svoi-ljudi;1850;['тот', 'же', 'большов', 'и', 'аграфена', 'кондратиевна'];['большов', 'аграфена', 'кондратиевна'];['S', 'S', 'S'];['Имя', 'Имя', 'Имя'];['PERSN', 'PERSN', 'PERSN']
(идет навстречу Самсону Силычу и бросается к нему в объятия).;0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['идти', 'навстречу', 'самсон', 'силыч', 'и', 'бросаться', 'к', 'он', 'в', 'объятие'];['идти', 'навстречу', 'самсон', 'силыч', 'бросаться', 'объятие'];['V', 'ADV', 'S', 'S', 'V', 'S'];['идти', 'навстречу', 'Имя', 'Имя', 'бросаться', 'объятие'];['V', 'ADV', 'PERSN', 'PERSN', 'V', 'S']
(к Аграфене Кондратьевне).;0;0;0;0;1;0;0;0;ostrovsky-svoi-ljudi;1850;['к', 'аграфена', 'кондратиевна'];['аграфена', 'кондратиевна'];['S', 'S'];['Имя', 'Имя'];['PERSN', 'PERSN']
(Входит.);0;1;0;0;0;0;0;0;ostrovsky-svoi-ljudi;1850;['входить'];['входить'];['V'];['входить'];['V']
Подхалюзин к Липочка садятся.;0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['подхалюзин', 'к', 'липочка', 'садиться'];['подхалюзин', 'липочка', 'садиться'];['S', 'S', 'V'];['Имя', 'липочка', 'садиться'];['PERSN', 'S', 'V']
(Уходит.);0;0;1;0;0;0;0;0;ostrovsky-svoi-ljudi;1850;['уходить'];['уходить'];['V'];['уходить'];['V']
Те же, Устинья Наумовна и Рисположенский.;0;1;0;0;0;0;0;0;ostrovsky-svoi-ljudi;1850;['тот', 'же', 'устинья', 'наумовна', 'и', 'рисположенский'];['устинья', 'наумовна', 'рисположенский'];['S', 'S', 'A'];['Имя', 'Имя', 'рисположенский'];['PERSN', 'PERSN', 'A']
Те же, Фоминишна и Тишка (с вином на подносе).;0;1;0;0;0;0;0;0;ostrovsky-svoi-ljudi;1850;['тот', 'же', 'фоминишный', 'и', 'тишка', 'с', 'вино', 'на', 'поднос'];['фоминишный', 'тишка', 'вино', 'поднос'];['A', 'S', 'S', 'S'];['фоминишный', 'Имя', 'вино', 'поднос'];['A', 'PERSN', 'S', 'S']
(Пьет).;0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['пить'];['пить'];['V'];['пить'];['V']
Липочка и Лазарь целуются.;0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['липочка', 'и', 'лазарь', 'целоваться'];['липочка', 'лазарь', 'целоваться'];['S', 'S', 'V'];['липочка', 'Имя', 'целоваться'];['S', 'PERSN', 'V']
(Берет бокал.);0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['берет', 'бокал'];['берет', 'бокал'];['S', 'S'];['берет', 'бокал'];['S', 'S']
Липочка и Лазарь встают.;0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['липочка', 'и', 'лазарь', 'вставать'];['липочка', 'лазарь', 'вставать'];['S', 'S', 'V'];['липочка', 'Имя', 'вставать'];['S', 'PERSN', 'V']
Тишка наливает.;0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['тишка', 'наливать'];['тишка', 'наливать'];['S', 'V'];['Имя', 'наливать'];['PERSN', 'V']
Липочка и Лазарь целуются.;0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['липочка', 'и', 'лазарь', 'целоваться'];['липочка', 'лазарь', 'целоваться'];['S', 'S', 'V'];['липочка', 'Имя', 'целоваться'];['S', 'PERSN', 'V']
Наливает вина и подходит к Рисположенскому. Рисположенский кланяется и отказывается.;0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['наливать', 'вино', 'и', 'подходить', 'к', 'рисположенский', 'рисположенский', 'кланяться', 'и', 'отказываться'];['наливать', 'вино', 'подходить', 'рисположенский', 'рисположенский', 'кланяться', 'отказываться'];['V', 'S', 'V', 'A', 'A', 'V', 'V'];['наливать', 'вино', 'подходить', 'рисположенский', 'рисположенский', 'кланяться', 'отказываться'];['V', 'S', 'V', 'A', 'A', 'V', 'V']
Рисположенский бежит от нее.;0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['рисположенский', 'бежать', 'от', 'она'];['рисположенский', 'бежать'];['A', 'V'];['рисположенский', 'бежать'];['A', 'V']
(ставит вино на стол).;0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['ставить', 'вино', 'на', 'стол'];['ставить', 'вино', 'стол'];['V', 'S', 'S'];['ставить', 'вино', 'стол'];['V', 'S', 'S']
(Прижимает его в угол и хватает за шиворот.);0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['прижимать', 'он', 'в', 'угол', 'и', 'хватать', 'за', 'шиворот'];['прижимать', 'угол', 'хватать', 'шиворот'];['V', 'S', 'V', 'S'];['прижимать', 'угол', 'хватать', 'шиворот'];['V', 'S', 'V', 'S']
Все хохочут.;0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['все', 'хохотать'];['хохотать'];['V'];['хохотать'];['V']
В доме Подхалюзина богато меблированная гостиная.;1;0;0;0;0;0;0;0;ostrovsky-svoi-ljudi;1850;['в', 'дом', 'подхалюзин', 'богато', 'меблировать', 'гостиная'];['дом', 'подхалюзин', 'богато', 'меблировать', 'гостиная'];['S', 'S', 'ADV', 'V', 'S'];['дом', 'Имя', 'богато', 'меблировать', 'гостиная'];['S', 'PERSN', 'ADV', 'V', 'S']
Олимпиада Самсоновна сидит у окна в роскошном положении. на ней шелковая блуза, чепчик последнего фасона. Подхалюзин в модном сюртуке стоит перед зеркалом. Тишка за ним обдергивает и охорашивает.;0;0;0;1;0;0;1;0;ostrovsky-svoi-ljudi;1850;['олимпиада', 'самсоновна', 'сидеть', 'у', 'окно', 'в', 'роскошный', 'положение', 'на', 'она', 'шелковый', 'блуза', 'чепчик', 'последний', 'фасон', 'подхалюзин', 'в', 'модный', 'сюртук', 'стоять', 'перед', 'зеркало', 'тишка', 'за', 'он', 'обдергивать', 'и', 'охорашивать'];['олимпиада', 'самсоновна', 'сидеть', 'окно', 'роскошный', 'положение', 'шелковый', 'блуза', 'чепчик', 'последний', 'фасон', 'подхалюзин', 'модный', 'сюртук', 'стоять', 'зеркало', 'тишка', 'обдергивать', 'охорашивать'];['S', 'S', 'V', 'S', 'A', 'S', 'A', 'S', 'S', 'A', 'S', 'S', 'A', 'S', 'V', 'S', 'S', 'V', 'V'];['олимпиада', 'Имя', 'сидеть', 'окно', 'роскошный', 'положение', 'шелковый', 'блуза', 'чепчик', 'последний', 'фасон', 'Имя', 'модный', 'сюртук', 'стоять', 'зеркало', 'Имя', 'обдергивать', 'охорашивать'];['S', 'PERSN', 'V', 'S', 'A', 'S', 'A', 'S', 'S', 'A', 'S', 'PERSN', 'A', 'S', 'V', 'S', 'PERSN', 'V', 'V']
(Ходит по комнате.);0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['ходить', 'по', 'комната'];['ходить', 'комната'];['V', 'S'];['ходить', 'комната'];['V', 'S']
Тишка уходит.;0;0;1;0;0;0;0;0;ostrovsky-svoi-ljudi;1850;['тишка', 'уходить'];['тишка', 'уходить'];['S', 'V'];['Имя', 'уходить'];['PERSN', 'V']
(Садится подле Олимпиады Самсоновны.);0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['садиться', 'подле', 'олимпиада', 'самсоновна'];['садиться', 'подле', 'олимпиада', 'самсоновна'];['V', 'ADV', 'S', 'S'];['садиться', 'подле', 'олимпиада', 'Имя'];['V', 'ADV', 'S', 'PERSN']
Молчание.;0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['молчание'];['молчание'];['S'];['молчание'];['S']
(Целует. Молчание.);0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['целовать', 'молчание'];['целовать', 'молчание'];['V', 'S'];['целовать', 'молчание'];['V', 'S']
(вскакивает со стула).;0;0;0;1;0;0;0;0;ostrovsky-svoi-ljudi;1850;['вскакивать', 'со', 'стул'];['вскакивать', 'стул'];['V', 'S'];['вскакивать', 'стул'];['V', 'S']
Входит Тишка с трубкой.;0;1;0;0;0;0;0;0;ostrovsky-svoi-ljudi;1850;['входить', 'тишка', 'с', 'трубка'];['входить', 'тишка', 'трубка'];['V', 'S', 'S'];['входить', 'Имя', 'трубка'];['V', 'PERSN', 'S']
Тишка уходит.;0;0;1;0;0;0;0;0;ostrovsky-svoi-ljudi;1850;['тишка', 'уходить'];['тишка', 'уходить'];['S', 'V'];['Имя', 'уходить'];['PERSN', 'V']
